GRAPH-READY EDGES
Format: SOURCE_ENTITY | RELATION | TARGET_ENTITY | DATE/PERIOD | EVIDENCE_GRADE | CONFIDENCE | SOURCE_URL | NOTES

McKinsey & Company | STRATEGIC_PARTNER_OF | World Economic Forum | current/2026 | A | HIGH | https://www.weforum.org/communities/strategic-partnership-b5337725-fac7-4f8a-9a4f-c89072b96a0d/ | WEF lists McKinsey among Strategic Partners
World Economic Forum | HAS_ORGANIZATION_PAGE_FOR | McKinsey & Company | current/2026 | A | HIGH | https://www.weforum.org/organizations/mckinsey-company/ | Page lists contributors and publications
World Economic Forum | CO_FOUNDED_WITH | McKinsey & Company::Global Lighthouse Network | historical/current | A | HIGH | https://www3.weforum.org/docs/WEF_Global_Lighthouse_Network_Adopting_AI_at_Speed_and_Scale_2023.pdf | GLN co-founded with McKinsey
World Economic Forum | COLLABORATES_WITH | McKinsey & Company::Global Cooperation Barometer | 2024-2026 | A | HIGH | https://www.weforum.org/publications/the-global-cooperation-barometer-2026/in-full/ | Repeated annual collaboration
World Economic Forum | COLLABORATES_WITH | McKinsey & Company::Resilience Consortium | 2022-current | A | HIGH | https://es.weforum.org/publications/resilience-for-sustainable-inclusive-growth/ | public-private leadership effort

Andrew Pickersgill | CHAIRS | McKinsey Shareholders Council | current/2026 | A | HIGH | https://www.mckinsey.com/about-us/overview/our-leadership/shareholders-council | current chair
Andrew Pickersgill | AGENDA_CONTRIBUTOR_AT | World Economic Forum | current/historical | A | HIGH | https://www.weforum.org/stories/authors/andrew-pickersgill-andrew-pickersgill/ | WEF profile
Andrew Pickersgill | LED | McKinsey Public Sector Practice | current/WEF profile | A | HIGH | https://www.weforum.org/stories/authors/andrew-pickersgill-andrew-pickersgill/ | governments and state-owned/linked enterprises
Andrew Pickersgill | FORMER_MANAGING_PARTNER_OF | McKinsey Canada | historical | A | HIGH | https://www.weforum.org/stories/authors/andrew-pickersgill-andrew-pickersgill/ | Canada office leadership
Andrew Pickersgill | FOUNDER_BOARD_DIRECTOR_OF | Century Initiative | 2019 record | A | HIGH | https://www.centuryinitiative.ca/news/press-release-new-report-outlines-10-key-actions-to-ensure-long-term-prosperity-for-canada | historical roster
Andrew Pickersgill | LED_PRO_BONO_SUPPORT_FOR | Advisory Council on Economic Growth | 2016-2017 | A/B | HIGH | https://www.ourcommons.ca/Content/Committee/451/TRAN/WebDoc/WD13582357/tranrp20/tranrp20-e.pdf | coordinated McKinsey research expertise

Gassan Al-Kibsi | BOARD_MEMBER_OF | McKinsey & Company | current/2026 | A | HIGH | https://www.mckinsey.com/about-us/overview/our-leadership/shareholders-council | Shareholders Council
Gassan Al-Kibsi | YOUNG_GLOBAL_LEADER_OF | World Economic Forum | historical | A | HIGH | https://www.weforum.org/people/gassan-al-kibsi/ | WEF profile
Fabian Billing | BOARD_MEMBER_OF | McKinsey & Company | current/2026 | A | HIGH | https://www.mckinsey.com/about-us/overview/our-leadership/shareholders-council | Shareholders Council
